accession,Tm
A0A3B3IS91,46.26717232891177
A0AVK6,41.47504947229305
A0AVT1,49.70331005381552
A0FGR8,53.58978157315154
A0JNW5,53.50552186756831
A0MZ66,47.65849926671216
A0PK00,55.02865891942019
A1A4S6,48.22293395455331
A1A5C7,59.5611904877709
A1L0T0,56.52769678974728
A1L188,59.589395192477454
A1X283,46.91571296550824
A2A3K4,43.06179997649187
A2RRP1,45.0829590471701
A2RTX5,47.61730264762687
A2RUC4,54.38121571687821
A2RUS2,46.98939440196184
A2VDF0,60.94057983858606
A2VDJ0,45.91663800912795
A3KMH1,49.29358436763513
A3KN83,49.7038812855452
A4D161,51.14503418608378
A4D1E9,45.52035113848184
A4D1P6,45.75183055940117
A4D1U4,54.95943291241347
A5D8V6,49.66827328339102
A5PLN9,47.313327578827824
A5YKK6,48.98036534475383
A6NC98,44.779598173072735
A6NCE7,52.35914401040552
A6NDG6,59.05170604994999
A6NDU8,48.72946180985957
A6NED2,53.32685718310053
A6NFY4,52.25831565553288
A6NHL2,55.815444418163565
A6NHX0,57.54809311084498
A6NIH7,50.29255603190316
A6NJ78,48.25464450750688
A6NKF1,47.68593519757286
A6NNL5,50.6047616182235
A6QL63,49.35619495713576
A7KAX9,53.02288790591599
A8K0Z3,50.38750235508188
A8MPS7,53.5296138982118
A8MVW0,54.4379125154836
A9UHW6,52.51038342661044
B0I1T2,47.30063103098605
B0YJ81,54.51610351184198
B2RTY4,44.573467165990266
B7ZAP0,50.36794453019246
B7ZAQ6,52.52461783008954
C0HLS1,44.13696512627695
O00115,61.972129666867794
O00116,52.94553972945411
O00139,49.64437622187178
O00142,56.2725720730588
O00148,47.27869709101768
O00151,55.89396860274516
O00154,60.612400632345896
O00161,60.78230543086576
O00165,47.24410582899294
O00178,49.974798844549404
O00182,50.77754305059598
O00186,47.282073683525326
O00193,63.10795019183082
O00203,49.51928025985398
O00214,49.277850831409694
O00217,53.15750197083245
O00221,48.43659237127999
O00231,49.68216735287309
O00232,51.95588782443585
O00233,57.23974530822343
O00237,52.29563370157816
O00244,57.78459437713897
O00255,43.789868660351566
O00258,59.367229807758456
O00264,57.07439680508537
O00267,49.86647141209057
O00268,48.88362984150688
O00273,55.66166832840676
O00299,51.849031210419085
O00303,46.64698777893541
O00311,41.35032800416753
O00329,49.8547557714213
O00330,57.55988851705966
O00391,56.91674073511684
O00399,53.59952912509949
O00400,59.10223348396045
O00401,52.1698934992608
O00410,53.648079031252486
O00411,45.60194288826611
O00418,45.49282894870705
O00425,48.83795314223476
O00429,51.38053149379729
O00442,53.34788471113622
O00443,45.73648293382137
O00459,46.89350560309068
O00462,55.866683425361394
O00463,45.50231933506561
O00471,46.55737278483676
O00481,54.28614433864958
O00483,56.20940640769248
O00487,52.166160748865366
O00499,48.90449403622763
O00505,51.19094754834508
O00506,52.02019749851564
O00512,52.95902227405273
O00522,48.104568132057054
O00534,50.74730453215626
O00541,44.460200325357896
O00560,50.60275817525211
O00566,48.8003454722737
O00567,52.31978315122181
O00571,45.904447963704925
O00584,58.13067502406509
O00587,51.23124222937068
O00592,62.03348261306645
O00623,52.25192547409021
O00628,55.4697424884282
O00629,53.80201263914636
O00635,46.70903485630024
O00716,48.37224219304536
O00743,56.41305370626819
O00746,59.85179928808029
O00750,48.05700390410896
O00754,60.98943506115014
O00762,47.76154501234997
O00764,58.72395994649444
O00767,49.463798742838215
O14494,62.87442664545828
O14497,46.75777850669687
O14503,52.855592321892246
